date,driver,customer,hours,km
2023-10-24,DRIVER_10,CUSTOMER_10,6.2,364
2020-10-10,DRIVER_8,CUSTOMER_7,15.7,624
2020-09-24,DRIVER_23,CUSTOMER_10,12.0,339
2023-09-24,DRIVER_28,CUSTOMER_7,10.4,655
2023-12-06,DRIVER_3,CUSTOMER_7,12.2,840
2021-10-05,DRIVER_15,CUSTOMER_10,4.8,130
2020-06-18,DRIVER_6,CUSTOMER_3,12.8,383
2021-02-20,DRIVER_1,CUSTOMER_1,16.5,802
2021-04-14,DRIVER_21,CUSTOMER_7,14.6,405
2022-12-02,DRIVER_22,CUSTOMER_5,17.2,636
2020-03-11,DRIVER_12,CUSTOMER_7,15.4,1069
2020-01-26,DRIVER_22,CUSTOMER_6,13.7,608
2020-01-22,DRIVER_25,CUSTOMER_7,11.9,568
2020-06-28,DRIVER_23,CUSTOMER_4,17.9,1136
2020-10-25,DRIVER_30,CUSTOMER_4,7.1,187
2021-03-17,DRIVER_6,CUSTOMER_8,14.6,909
2023-03-22,DRIVER_21,CUSTOMER_2,14.5,632
2021-12-12,DRIVER_15,CUSTOMER_10,14.7,605
2020-02-26,DRIVER_2,CUSTOMER_8,10.5,327
2023-10-04,DRIVER_21,CUSTOMER_7,14.3,980
2022-09-25,DRIVER_30,CUSTOMER_2,12.2,642
2023-09-15,DRIVER_27,CUSTOMER_1,10.7,305
2020-02-16,DRIVER_18,CUSTOMER_2,14.7,540
2023-07-08,DRIVER_13,CUSTOMER_7,6.2,190
2022-08-29,DRIVER_26,CUSTOMER_2,5.8,265
2023-01-11,DRIVER_24,CUSTOMER_10,17.7,596
2020-02-23,DRIVER_14,CUSTOMER_4,13.7,400
2021-10-25,DRIVER_30,CUSTOMER_7,14.5,882
2020-04-24,DRIVER_2,CUSTOMER_2,11.9,700
2023-10-29,DRIVER_15,CUSTOMER_10,7.7,361
2021-01-03,DRIVER_21,CUSTOMER_10,16.4,802
2022-03-07,DRIVER_4,CUSTOMER_10,13.8,478
2020-04-02,DRIVER_12,CUSTOMER_3,14.6,480
2022-06-04,DRIVER_16,CUSTOMER_9,4.3,183
2023-06-27,DRIVER_2,CUSTOMER_5,13.0,536
2024-01-26,DRIVER_13,CUSTOMER_6,10.1,407
2020-11-16,DRIVER_1,CUSTOMER_9,14.5,902
2023-06-26,DRIVER_27,CUSTOMER_5,18.0,1128
2021-10-16,DRIVER_10,CUSTOMER_9,8.8,451
2020-02-05,DRIVER_2,CUSTOMER_10,16.7,642
2022-08-09,DRIVER_28,CUSTOMER_4,14.5,464
2024-02-08,DRIVER_25,CUSTOMER_5,5.1,337
2021-10-24,DRIVER_21,CUSTOMER_7,6.5,164
2021-02-22,DRIVER_27,CUSTOMER_3,9.2,470
2020-02-10,DRIVER_17,CUSTOMER_10,5.4,262
2022-03-05,DRIVER_30,CUSTOMER_8,10.0,609
2023-06-04,DRIVER_1,CUSTOMER_7,16.9,630
2022-09-27,DRIVER_15,CUSTOMER_1,10.6,297
2020-04-30,DRIVER_13,CUSTOMER_10,16.3,701
2023-01-01,DRIVER_9,CUSTOMER_7,10.8,494
2022-09-19,DRIVER_19,CUSTOMER_1,11.6,795
2022-11-28,DRIVER_12,CUSTOMER_2,5.6,378
2021-11-08,DRIVER_24,CUSTOMER_10,7.6,477
2022-08-14,DRIVER_21,CUSTOMER_10,14.2,547
2021-11-17,DRIVER_2,CUSTOMER_10,15.3,927
2023-05-05,DRIVER_7,CUSTOMER_10,3.6,240
2021-03-13,DRIVER_10,CUSTOMER_2,4.7,186
2023-08-12,DRIVER_2,CUSTOMER_6,14.2,538
2022-03-27,DRIVER_2,CUSTOMER_5,14.3,611
2022-05-23,DRIVER_20,CUSTOMER_6,6.7,224
2021-04-03,DRIVER_14,CUSTOMER_3,6.4,299
2021-04-29,DRIVER_12,CUSTOMER_1,7.2,237
2021-04-11,DRIVER_20,CUSTOMER_10,14.5,558
2021-07-21,DRIVER_15,CUSTOMER_10,16.5,1025
2020-07-31,DRIVER_19,CUSTOMER_8,5.5,258
2020-04-01,DRIVER_22,CUSTOMER_1,6.4,320
2024-03-05,DRIVER_18,CUSTOMER_2,11.4,532
2021-05-05,DRIVER_7,CUSTOMER_3,16.0,576
2020-01-20,DRIVER_25,CUSTOMER_10,13.6,417
2023-03-15,DRIVER_14,CUSTOMER_7,12.3,486
2022-07-29,DRIVER_26,CUSTOMER_1,15.3,699
2021-01-26,DRIVER_14,CUSTOMER_4,15.9,719
2023-11-02,DRIVER_12,CUSTOMER_7,7.0,342
2020-11-25,DRIVER_8,CUSTOMER_4,14.8,381
2020-01-08,DRIVER_15,CUSTOMER_9,14.3,393
2023-01-28,DRIVER_8,CUSTOMER_1,4.2,139
2020-07-27,DRIVER_20,CUSTOMER_4,16.2,1034
2023-04-15,DRIVER_13,CUSTOMER_8,16.2,704
2021-06-27,DRIVER_26,CUSTOMER_2,10.0,487
2020-10-25,DRIVER_19,CUSTOMER_8,11.5,715
2021-06-11,DRIVER_1,CUSTOMER_2,3.3,152
2023-03-26,DRIVER_4,CUSTOMER_5,7.1,274
2022-11-21,DRIVER_16,CUSTOMER_10,9.3,328
2022-02-27,DRIVER_4,CUSTOMER_8,11.4,518
2021-09-06,DRIVER_23,CUSTOMER_10,15.9,1090
2022-11-25,DRIVER_22,CUSTOMER_9,1.4,49
2023-04-06,DRIVER_27,CUSTOMER_6,14.1,634
2023-08-03,DRIVER_30,CUSTOMER_1,12.6,357
2020-07-04,DRIVER_1,CUSTOMER_2,16.2,726
2023-08-14,DRIVER_17,CUSTOMER_10,6.4,359
2022-07-19,DRIVER_20,CUSTOMER_10,7.7,209
2022-01-28,DRIVER_13,CUSTOMER_6,17.6,552
2022-06-11,DRIVER_21,CUSTOMER_4,3.4,199
2020-12-23,DRIVER_21,CUSTOMER_1,9.4,485
2020-01-12,DRIVER_13,CUSTOMER_9,11.6,379
2022-04-01,DRIVER_7,CUSTOMER_8,9.5,517
2024-01-07,DRIVER_21,CUSTOMER_8,13.4,420
2021-03-18,DRIVER_23,CUSTOMER_4,2.3,130
2021-01-04,DRIVER_11,CUSTOMER_5,3.7,249
2021-09-29,DRIVER_22,CUSTOMER_5,13.6,916
2020-04-16,DRIVER_30,CUSTOMER_10,15.8,782
2021-06-14,DRIVER_14,CUSTOMER_7,17.0,446
2020-01-18,DRIVER_3,CUSTOMER_8,17.7,756
2022-11-20,DRIVER_8,CUSTOMER_5,14.3,392
2020-07-07,DRIVER_21,CUSTOMER_8,18.0,723
2024-02-07,DRIVER_12,CUSTOMER_8,9.6,275
2022-08-22,DRIVER_23,CUSTOMER_3,12.4,851
2024-01-08,DRIVER_18,CUSTOMER_10,5.5,324
2023-05-11,DRIVER_15,CUSTOMER_2,9.7,561
2022-09-23,DRIVER_5,CUSTOMER_5,10.7,278
2021-03-13,DRIVER_6,CUSTOMER_8,17.4,435
2022-09-17,DRIVER_24,CUSTOMER_2,13.6,437
2023-03-16,DRIVER_21,CUSTOMER_8,8.1,215
2023-01-09,DRIVER_13,CUSTOMER_8,12.9,606
2021-01-30,DRIVER_15,CUSTOMER_1,12.1,691
2021-09-11,DRIVER_23,CUSTOMER_7,16.8,463
2023-05-19,DRIVER_13,CUSTOMER_9,12.2,522
2022-07-21,DRIVER_24,CUSTOMER_5,13.0,781
2021-08-25,DRIVER_20,CUSTOMER_2,5.9,227
2021-11-24,DRIVER_6,CUSTOMER_7,3.0,209
2020-06-02,DRIVER_30,CUSTOMER_2,12.9,877
2023-05-09,DRIVER_6,CUSTOMER_8,10.0,337
2020-02-22,DRIVER_2,CUSTOMER_7,16.8,1032
2023-05-21,DRIVER_16,CUSTOMER_5,16.9,1022
2021-03-15,DRIVER_28,CUSTOMER_9,3.8,247
2021-12-31,DRIVER_23,CUSTOMER_7,17.5,776
2021-08-15,DRIVER_28,CUSTOMER_10,17.8,1050
2023-05-14,DRIVER_26,CUSTOMER_2,16.1,568
2023-01-17,DRIVER_2,CUSTOMER_5,12.6,675
2023-04-04,DRIVER_14,CUSTOMER_2,14.1,868
2022-09-07,DRIVER_11,CUSTOMER_8,6.7,357
2022-02-06,DRIVER_7,CUSTOMER_2,16.5,1143
2023-08-09,DRIVER_18,CUSTOMER_5,7.8,255
2022-09-18,DRIVER_13,CUSTOMER_7,11.8,445
2020-07-15,DRIVER_5,CUSTOMER_8,4.1,198
2023-05-15,DRIVER_19,CUSTOMER_2,15.7,441
2023-10-24,DRIVER_5,CUSTOMER_9,9.4,349
2021-03-31,DRIVER_29,CUSTOMER_8,6.2,264
2020-09-01,DRIVER_9,CUSTOMER_7,17.4,555
2020-07-17,DRIVER_20,CUSTOMER_5,16.5,688
2022-01-03,DRIVER_23,CUSTOMER_5,13.7,770
2021-03-10,DRIVER_18,CUSTOMER_2,8.4,333
2021-03-30,DRIVER_29,CUSTOMER_4,11.1,602
2024-01-12,DRIVER_1,CUSTOMER_3,10.7,674
2022-01-16,DRIVER_28,CUSTOMER_1,2.9,117
2024-02-17,DRIVER_15,CUSTOMER_3,17.9,765
2023-08-13,DRIVER_10,CUSTOMER_4,15.9,795
2023-08-13,DRIVER_1,CUSTOMER_1,6.8,320
2021-09-29,DRIVER_1,CUSTOMER_4,14.3,484
2020-05-08,DRIVER_2,CUSTOMER_2,11.3,457
2023-04-22,DRIVER_23,CUSTOMER_3,14.9,476
2023-03-15,DRIVER_8,CUSTOMER_6,17.3,1117
2023-04-07,DRIVER_8,CUSTOMER_9,10.9,492
2020-02-14,DRIVER_3,CUSTOMER_2,17.1,639
2024-02-10,DRIVER_2,CUSTOMER_5,13.7,853
2020-09-29,DRIVER_28,CUSTOMER_6,6.0,387
2022-10-11,DRIVER_11,CUSTOMER_1,15.0,451
2022-08-07,DRIVER_12,CUSTOMER_3,11.7,543
2020-11-03,DRIVER_29,CUSTOMER_5,16.9,586
2022-01-06,DRIVER_13,CUSTOMER_2,10.2,371
2023-06-26,DRIVER_13,CUSTOMER_2,14.7,653
2022-09-06,DRIVER_19,CUSTOMER_4,17.0,650
2021-12-22,DRIVER_13,CUSTOMER_4,11.7,336
2022-01-05,DRIVER_9,CUSTOMER_8,15.3,946
2023-09-06,DRIVER_3,CUSTOMER_6,9.0,403
2020-03-24,DRIVER_4,CUSTOMER_1,12.3,558
2023-10-03,DRIVER_2,CUSTOMER_6,15.4,449
2021-06-11,DRIVER_25,CUSTOMER_6,13.4,402
2020-01-06,DRIVER_14,CUSTOMER_9,18.0,573
2021-04-19,DRIVER_27,CUSTOMER_4,10.8,609
2021-03-31,DRIVER_3,CUSTOMER_5,8.5,233
2024-01-11,DRIVER_30,CUSTOMER_6,15.1,948
2020-08-07,DRIVER_11,CUSTOMER_4,13.7,471
2021-10-25,DRIVER_25,CUSTOMER_5,4.0,228
2020-05-22,DRIVER_3,CUSTOMER_7,7.2,271
2023-10-02,DRIVER_23,CUSTOMER_8,8.0,412
2022-04-14,DRIVER_27,CUSTOMER_4,16.2,788
2024-02-27,DRIVER_26,CUSTOMER_10,16.8,792
2021-02-19,DRIVER_30,CUSTOMER_8,14.7,696
2020-04-25,DRIVER_8,CUSTOMER_10,17.8,1122
2020-05-27,DRIVER_20,CUSTOMER_1,17.1,1071
2020-10-08,DRIVER_23,CUSTOMER_7,15.1,405
2022-03-20,DRIVER_3,CUSTOMER_10,17.4,996
2022-01-20,DRIVER_7,CUSTOMER_10,11.2,482
2020-01-10,DRIVER_6,CUSTOMER_8,8.2,212
2022-09-23,DRIVER_29,CUSTOMER_9,6.2,228
2022-08-20,DRIVER_16,CUSTOMER_10,10.9,571
2022-05-07,DRIVER_4,CUSTOMER_6,16.6,470
2023-11-04,DRIVER_17,CUSTOMER_7,15.2,1035
2020-06-17,DRIVER_14,CUSTOMER_9,5.4,331
2024-02-28,DRIVER_27,CUSTOMER_4,13.6,383
2024-03-27,DRIVER_21,CUSTOMER_5,2.8,185
2020-01-21,DRIVER_4,CUSTOMER_8,14.3,749
2021-02-02,DRIVER_19,CUSTOMER_8,13.6,414
2022-08-21,DRIVER_28,CUSTOMER_5,9.8,379
2023-05-09,DRIVER_13,CUSTOMER_10,12.8,795
2021-12-22,DRIVER_18,CUSTOMER_1,17.1,674
2022-04-21,DRIVER_12,CUSTOMER_5,16.7,662
2021-06-07,DRIVER_30,CUSTOMER_6,8.5,392
2021-10-21,DRIVER_23,CUSTOMER_5,13.0,353
2020-07-14,DRIVER_17,CUSTOMER_5,10.7,702
2023-06-19,DRIVER_16,CUSTOMER_2,5.5,195
2021-04-03,DRIVER_1,CUSTOMER_3,16.2,1041
2022-08-14,DRIVER_29,CUSTOMER_3,16.8,980
2021-04-19,DRIVER_17,CUSTOMER_2,5.9,284
2023-09-29,DRIVER_23,CUSTOMER_4,15.6,420
2022-02-19,DRIVER_28,CUSTOMER_6,12.9,430
2023-09-25,DRIVER_24,CUSTOMER_7,6.1,341
2022-04-14,DRIVER_8,CUSTOMER_5,17.6,559
2022-03-13,DRIVER_4,CUSTOMER_2,4.3,205
2022-04-03,DRIVER_7,CUSTOMER_9,9.4,432
2023-06-26,DRIVER_14,CUSTOMER_3,13.5,868
2023-02-27,DRIVER_10,CUSTOMER_6,14.5,546
2020-07-14,DRIVER_14,CUSTOMER_7,7.3,326
2021-12-20,DRIVER_9,CUSTOMER_9,14.2,768
2022-07-09,DRIVER_16,CUSTOMER_1,7.0,416
2020-01-21,DRIVER_23,CUSTOMER_1,14.6,705
2021-04-29,DRIVER_26,CUSTOMER_5,13.1,416
2021-04-29,DRIVER_10,CUSTOMER_2,3.1,154
2020-10-25,DRIVER_6,CUSTOMER_9,3.6,128
2020-07-25,DRIVER_6,CUSTOMER_9,15.1,919
2021-05-08,DRIVER_18,CUSTOMER_6,13.0,482
2023-06-11,DRIVER_16,CUSTOMER_2,16.5,517
2023-10-25,DRIVER_19,CUSTOMER_3,15.7,1002
2024-01-09,DRIVER_19,CUSTOMER_3,14.6,1012
2021-08-21,DRIVER_28,CUSTOMER_10,8.3,543
2022-12-21,DRIVER_30,CUSTOMER_2,17.2,454
2020-07-27,DRIVER_27,CUSTOMER_4,15.4,426
2022-12-09,DRIVER_17,CUSTOMER_9,8.0,205
2020-07-07,DRIVER_8,CUSTOMER_8,16.6,970
2020-08-02,DRIVER_2,CUSTOMER_5,14.9,623
2022-06-03,DRIVER_5,CUSTOMER_4,17.4,914
2020-09-16,DRIVER_22,CUSTOMER_1,9.9,266
2021-10-12,DRIVER_25,CUSTOMER_4,13.5,916
2023-01-15,DRIVER_10,CUSTOMER_10,8.3,338
2022-11-05,DRIVER_24,CUSTOMER_9,14.6,988
2022-10-30,DRIVER_24,CUSTOMER_3,10.8,706
2022-02-02,DRIVER_3,CUSTOMER_5,14.8,905
2020-01-03,DRIVER_19,CUSTOMER_5,16.3,1041
2022-12-26,DRIVER_5,CUSTOMER_9,12.2,420
2020-03-30,DRIVER_2,CUSTOMER_7,13.1,848
2020-07-13,DRIVER_13,CUSTOMER_3,10.4,517
2021-11-28,DRIVER_26,CUSTOMER_6,8.6,518
2022-10-28,DRIVER_22,CUSTOMER_4,12.8,381
2021-12-13,DRIVER_19,CUSTOMER_6,16.7,739
2023-11-27,DRIVER_3,CUSTOMER_10,7.1,349
2023-10-14,DRIVER_5,CUSTOMER_8,15.0,918
2021-10-13,DRIVER_25,CUSTOMER_2,7.8,421
2021-08-29,DRIVER_10,CUSTOMER_10,10.6,302
2021-03-27,DRIVER_27,CUSTOMER_2,9.3,616
2020-12-08,DRIVER_11,CUSTOMER_7,12.9,814
2020-12-12,DRIVER_7,CUSTOMER_3,8.7,392
2022-11-06,DRIVER_14,CUSTOMER_10,9.1,555
2022-07-26,DRIVER_20,CUSTOMER_6,5.3,174
2022-04-18,DRIVER_1,CUSTOMER_3,6.5,346
2023-03-08,DRIVER_13,CUSTOMER_5,17.2,570
2023-10-26,DRIVER_5,CUSTOMER_3,17.1,1002
2021-01-16,DRIVER_17,CUSTOMER_6,11.2,739
2021-01-19,DRIVER_23,CUSTOMER_7,5.1,332
2023-07-23,DRIVER_8,CUSTOMER_4,16.8,1044
2024-02-07,DRIVER_28,CUSTOMER_5,9.5,483
2022-06-12,DRIVER_5,CUSTOMER_2,17.5,958
2021-07-13,DRIVER_28,CUSTOMER_3,10.3,284
2020-02-06,DRIVER_27,CUSTOMER_4,15.6,515
2021-09-23,DRIVER_29,CUSTOMER_3,11.8,585
2023-05-03,DRIVER_25,CUSTOMER_4,11.7,439
2023-12-08,DRIVER_29,CUSTOMER_5,5.9,220
2023-01-15,DRIVER_27,CUSTOMER_4,13.8,722
2022-05-06,DRIVER_10,CUSTOMER_4,7.2,338
2023-03-15,DRIVER_2,CUSTOMER_4,13.1,772
2021-08-27,DRIVER_25,CUSTOMER_4,11.5,461
2020-08-01,DRIVER_27,CUSTOMER_2,15.1,616
2023-11-29,DRIVER_29,CUSTOMER_7,15.4,939
2020-10-28,DRIVER_5,CUSTOMER_10,18.0,1043
2022-02-03,DRIVER_4,CUSTOMER_4,18.0,1199
2022-03-17,DRIVER_11,CUSTOMER_9,14.9,488
2020-06-07,DRIVER_6,CUSTOMER_8,13.3,742
2023-11-17,DRIVER_23,CUSTOMER_2,12.7,507
2022-07-01,DRIVER_17,CUSTOMER_8,7.4,260
2023-12-17,DRIVER_30,CUSTOMER_7,17.4,914
2021-09-19,DRIVER_12,CUSTOMER_7,15.8,628
2021-11-12,DRIVER_30,CUSTOMER_3,17.1,432
2020-12-13,DRIVER_16,CUSTOMER_7,11.3,551
2022-11-18,DRIVER_20,CUSTOMER_5,14.2,721
2024-01-25,DRIVER_26,CUSTOMER_9,16.1,1085
2021-10-13,DRIVER_14,CUSTOMER_3,13.5,719
2020-07-20,DRIVER_18,CUSTOMER_5,12.7,536
2020-10-08,DRIVER_3,CUSTOMER_7,17.9,966
2022-08-24,DRIVER_2,CUSTOMER_5,16.8,1109
2020-06-22,DRIVER_30,CUSTOMER_7,15.4,1049
2022-10-08,DRIVER_6,CUSTOMER_10,15.4,880
2020-07-24,DRIVER_10,CUSTOMER_10,18.0,575
2020-11-28,DRIVER_27,CUSTOMER_1,13.1,383
2022-02-14,DRIVER_24,CUSTOMER_4,8.8,349
2022-06-10,DRIVER_28,CUSTOMER_3,7.2,455
2022-04-19,DRIVER_22,CUSTOMER_2,14.1,410
2021-02-11,DRIVER_13,CUSTOMER_8,15.0,940
2023-09-06,DRIVER_22,CUSTOMER_9,12.6,684
2022-12-03,DRIVER_8,CUSTOMER_2,6.5,165
2021-09-23,DRIVER_28,CUSTOMER_9,10.4,566
2023-10-11,DRIVER_7,CUSTOMER_7,16.5,1082
2022-01-14,DRIVER_16,CUSTOMER_10,4.8,235
2020-04-27,DRIVER_15,CUSTOMER_6,6.1,312
2022-07-28,DRIVER_28,CUSTOMER_1,5.9,329
2023-06-03,DRIVER_16,CUSTOMER_3,9.7,585
2020-10-05,DRIVER_20,CUSTOMER_4,12.8,741
2021-05-01,DRIVER_25,CUSTOMER_4,6.3,237
2023-01-02,DRIVER_1,CUSTOMER_1,10.6,633
2020-01-05,DRIVER_2,CUSTOMER_7,12.0,559
2020-12-08,DRIVER_7,CUSTOMER_1,4.5,167
2020-12-11,DRIVER_23,CUSTOMER_10,4.7,181
2021-06-05,DRIVER_24,CUSTOMER_1,15.9,413
2021-02-18,DRIVER_30,CUSTOMER_6,13.9,921
2022-12-08,DRIVER_26,CUSTOMER_10,16.3,777
2022-06-12,DRIVER_3,CUSTOMER_3,11.3,355
2021-02-24,DRIVER_17,CUSTOMER_1,17.4,1169
2024-01-07,DRIVER_3,CUSTOMER_4,13.6,639
2022-05-25,DRIVER_24,CUSTOMER_7,3.0,123
2023-03-06,DRIVER_14,CUSTOMER_3,7.9,540
2021-05-28,DRIVER_19,CUSTOMER_3,7.8,477
2020-11-18,DRIVER_22,CUSTOMER_5,12.9,356
2021-06-15,DRIVER_16,CUSTOMER_1,15.9,899
2023-01-07,DRIVER_21,CUSTOMER_5,13.6,555
2020-01-03,DRIVER_16,CUSTOMER_9,9.4,611
2022-08-02,DRIVER_17,CUSTOMER_2,12.6,478
2022-06-19,DRIVER_15,CUSTOMER_1,15.1,796
2021-08-20,DRIVER_18,CUSTOMER_7,17.7,1189
2023-08-04,DRIVER_27,CUSTOMER_1,9.9,571
2020-02-05,DRIVER_12,CUSTOMER_6,6.1,189
2020-01-29,DRIVER_5,CUSTOMER_2,13.9,894
2022-09-05,DRIVER_14,CUSTOMER_10,8.6,431
2021-01-09,DRIVER_9,CUSTOMER_7,12.6,412
2023-02-26,DRIVER_22,CUSTOMER_9,7.8,516
